device,hour,day,temperature,humidity,power,duration,energy
Agricultural Sensor,9,29,15.64,30.26,3.9633,4.1982,0.016639
Smart Camera,21,20,37.54,31.18,7.0171,5.4644,0.038344
Smart Lighting,6,3,41.32,75.31,7.1151,1.3133,0.009344
Edge Gateway,8,19,18.66,63.14,18.6913,2.1353,0.039912
Agricultural Sensor,16,22,21.25,23.14,3.9771,1.463,0.005818
Health Monitor,10,15,38.45,63.58,0.8989,2.9108,0.002617
Industrial Sensor,6,4,40.01,41.62,14.6492,2.4341,0.035658
Agricultural Sensor,23,28,26.33,45.81,3.9633,2.4812,0.009834
Smart Lighting,13,12,16.37,73.88,4.748,5.4186,0.025728
Edge Gateway,18,6,16.06,76.77,18.1749,1.9988,0.036328
Smart Camera,3,19,30.5,48.02,10.993,1.9484,0.021419
Smart Lighting,5,31,25.61,86.3,5.5664,1.8934,0.010539
Smart Lighting,9,4,15.77,48.45,4.6608,3.9757,0.01853
Industrial Sensor,6,15,30.75,74.03,12.543,1.8279,0.022927
Wearable Device,12,9,15.31,53.87,0.3116,4.0351,0.001257
Edge Gateway,13,5,36.26,82.83,20.0081,4.6171,0.092379
Smart Meter,3,13,23.27,83.54,1.6079,2.351,0.00378
Smart Lighting,7,23,16.09,26.12,4.3431,0.4364,0.001895
Wearable Device,4,26,30.89,85.55,0.305,2.4588,0.00075
Smart Meter,0,18,25.74,77.79,2.2905,0.5194,0.00119
Edge Gateway,3,30,41.29,75.39,35.7152,0.3005,0.010732
Smart Thermostat,2,30,29.69,34.06,2.8545,3.1744,0.009061
Health Monitor,8,5,22.43,76.36,0.6587,7.7102,0.005079
Wearable Device,7,25,34.15,79.51,0.4,0.281,0.000112
EV Charger,0,16,22.33,40.24,46.3367,1.4907,0.069074
Smart Thermostat,5,27,39.41,86.66,2.2257,0.6785,0.00151
Health Monitor,8,19,25.12,23.49,1.0274,3.9842,0.004093
Industrial Sensor,6,14,29.85,30.49,14.5875,2.7134,0.039582
Agricultural Sensor,3,25,16.37,57.63,3.5836,3.0939,0.011087
Smart Camera,12,30,26.51,60.31,9.9174,5.1606,0.05118
EV Charger,16,16,37.47,65.16,41.0134,2.9459,0.120821
Industrial Sensor,1,27,36.75,21.19,10.9795,1.9965,0.021921
Edge Gateway,4,15,21.06,87.23,28.0655,1.0759,0.030196
Industrial Sensor,11,22,21.1,23.12,10.2169,7.3376,0.074968
Agricultural Sensor,20,4,37.07,30.01,3.3893,7.0262,0.023814
Edge Gateway,7,7,40.12,20.98,32.3271,1.854,0.059934
EV Charger,5,16,17.57,59.68,52.0528,1.1164,0.058112
Agricultural Sensor,7,24,27.15,85.26,3.2564,1.0171,0.003312
Smart Meter,17,22,24.11,66.62,2.1627,0.414,0.000895
Smart Camera,2,21,38.51,77.59,11.2117,2.668,0.029913
EV Charger,21,22,17.26,20.93,48.6672,3.708,0.180458
Smart Meter,11,21,20.7,57.94,1.5384,2.7186,0.004182
Health Monitor,2,8,35.32,52.17,0.7583,1.5787,0.001197
EV Charger,21,17,16.38,54.93,39.7959,6.618,0.263369
Health Monitor,5,16,28.3,25.05,0.6571,0.4838,0.000318
Edge Gateway,1,27,26.94,67.91,22.7263,2.8002,0.063638
Smart Meter,22,23,24.03,55.23,1.545,7.2403,0.011186
Smart Camera,11,31,25.65,73.56,8.595,7.629,0.065571
Agricultural Sensor,1,10,29.31,53.97,4.1713,1.3461,0.005615
Smart Lighting,5,10,19.36,30.46,4.6655,0.7762,0.003621
Industrial Sensor,16,27,30.44,65.38,14.359,3.1018,0.044539
Smart Thermostat,2,2,36.75,32.07,3.0331,1.142,0.003464
Smart Camera,1,31,35.52,81.07,7.1214,0.6466,0.004605
Smart Meter,22,30,19.16,62.92,2.2427,4.9474,0.011096
Smart Lighting,19,9,19.03,31.0,6.2529,3.9153,0.024482
Smart Camera,7,17,22.24,87.36,7.993,2.8256,0.022585
Smart Meter,21,11,24.75,56.29,2.1318,0.4037,0.000861
Wearable Device,11,10,26.03,25.1,0.2687,5.2366,0.001407
Wearable Device,3,22,33.35,63.88,0.3592,2.5009,0.000898
Health Monitor,4,25,16.53,37.72,0.5836,2.49,0.001453
Smart Camera,12,17,15.94,76.26,10.0134,7.15,0.071596
Wearable Device,14,4,25.58,77.25,0.302,5.9094,0.001785
Smart Meter,22,16,33.82,88.53,2.0969,7.4797,0.015684
Health Monitor,15,20,20.22,55.13,0.6787,2.778,0.001885
Smart Meter,9,15,32.32,51.85,2.1262,4.1254,0.008771
Health Monitor,22,25,22.02,72.74,0.9417,0.2612,0.000246
Smart Camera,15,27,38.92,29.27,9.2682,0.205,0.0019
Smart Lighting,11,21,39.18,58.28,7.0997,2.047,0.014533
Agricultural Sensor,16,5,23.03,58.24,3.1947,0.9464,0.003023
EV Charger,15,6,21.21,26.26,55.9251,2.2057,0.123354
Smart Lighting,11,17,26.11,49.26,6.2329,1.5486,0.009652
Edge Gateway,7,1,21.49,79.73,30.3558,0.1801,0.005467
Smart Meter,19,31,33.15,79.93,2.2725,7.3335,0.016665
Edge Gateway,2,25,37.3,26.95,26.0658,0.116,0.003024
Smart Lighting,15,19,33.17,26.35,5.466,5.965,0.032605
Health Monitor,12,4,37.26,38.39,0.8317,1.352,0.001124
EV Charger,22,17,25.72,81.23,55.4188,7.3566,0.407694
EV Charger,18,9,19.22,29.02,38.1446,7.2031,0.274759
Smart Thermostat,7,31,34.92,70.4,2.7537,2.1563,0.005938
EV Charger,21,24,24.73,27.08,54.6069,5.4606,0.298186
Agricultural Sensor,4,2,33.12,63.62,3.1575,0.1069,0.000338
EV Charger,19,8,22.31,44.92,49.6362,7.9305,0.39364
Smart Lighting,7,15,17.19,75.22,5.0933,2.864,0.014587
Smart Thermostat,23,7,41.8,36.36,2.1796,2.9185,0.006361
Smart Lighting,11,27,19.22,64.74,7.0367,5.358,0.037703
Smart Lighting,0,6,41.69,36.5,5.1887,1.1795,0.00612
Industrial Sensor,20,1,41.39,69.96,11.6873,7.2098,0.084263
Smart Thermostat,19,15,36.43,81.16,3.2908,2.453,0.008072
Smart Lighting,5,23,32.8,28.88,5.8852,1.8682,0.010995
Industrial Sensor,21,26,30.6,80.66,16.214,0.9379,0.015207
Industrial Sensor,17,7,38.38,61.55,16.8873,7.4334,0.12553
Smart Thermostat,7,29,22.81,28.9,2.2183,0.5348,0.001186
Edge Gateway,6,30,27.63,49.93,19.3288,0.8007,0.015477
Health Monitor,0,25,31.72,31.26,0.9559,1.8537,0.001772
Agricultural Sensor,20,17,26.1,69.02,3.2349,6.1863,0.020012
Health Monitor,15,2,26.54,73.12,0.6436,5.0429,0.003246
EV Charger,11,27,23.92,27.41,51.7749,1.9839,0.102716
Agricultural Sensor,5,9,30.23,55.43,2.4873,0.093,0.000231
EV Charger,19,29,37.97,77.02,60.0,6.1315,0.36789
Smart Lighting,1,9,20.44,85.53,4.8102,3.2033,0.015409
Smart Meter,13,13,40.23,55.95,1.5785,6.5483,0.010336
Smart Thermostat,3,6,33.61,86.52,2.1985,1.5443,0.003395
Agricultural Sensor,0,6,37.23,57.5,4.4396,2.9459,0.013079
Agricultural Sensor,22,20,30.02,47.59,3.7686,3.3878,0.012767
Smart Lighting,17,20,36.05,79.37,7.6822,4.297,0.03301
Edge Gateway,12,21,15.44,54.51,23.1625,3.9193,0.090781
Industrial Sensor,1,3,37.1,53.03,11.9411,1.5045,0.017965
Smart Lighting,8,17,16.08,54.32,5.0256,6.274,0.031531
Wearable Device,20,31,39.03,79.27,0.3287,4.3115,0.001417
Industrial Sensor,1,17,41.78,78.24,13.867,1.0908,0.015126
Smart Thermostat,8,12,22.94,48.25,2.7512,2.1894,0.006023
Industrial Sensor,0,16,20.68,43.33,10.4541,0.2093,0.002188
Edge Gateway,10,15,35.66,54.43,34.2429,4.7572,0.1629
Industrial Sensor,2,13,21.83,60.09,9.9069,0.8167,0.008091
Smart Thermostat,19,23,38.37,36.68,3.4958,1.3203,0.004616
Edge Gateway,22,1,17.78,75.58,18.0033,5.3153,0.095693
Health Monitor,3,17,18.4,54.05,0.7911,2.2426,0.001774
Agricultural Sensor,17,3,41.44,43.38,3.2444,6.092,0.019765
Agricultural Sensor,22,26,33.19,27.48,3.347,4.1283,0.013817
EV Charger,5,15,37.87,36.72,51.5839,2.9152,0.150377
Health Monitor,2,4,23.76,86.45,0.7919,3.0488,0.002414
Health Monitor,21,4,33.27,41.36,0.8202,6.5282,0.005354
Industrial Sensor,10,18,31.04,31.82,14.4926,5.1712,0.074944
